"ltla21_code","total_residents","sexual_orientation","n","prop"
"E07000128",94351,"All other sexual orientations",150,"0.001589808"
"E07000128",94351,"Not answered",5757,"0.061016841"
"E07000129",83666,"Straight or Heterosexual",76694,"0.916668659"
"E07000129",83666,"Gay or Lesbian",1056,"0.012621615"
"E07000129",83666,"Bisexual",691,"0.008259030"
"E07000129",83666,"All other sexual orientations",148,"0.001768938"
"E07000129",83666,"Not answered",5077,"0.060681758"
"E07000130",153100,"Straight or Heterosexual",137579,"0.898621816"
"E07000130",153100,"Gay or Lesbian",1971,"0.012873939"
"E07000130",153100,"Bisexual",2069,"0.013514043"
"E07000130",153100,"All other sexual orientations",442,"0.002887002"
"E07000130",153100,"Not answered",11039,"0.072103201"
"E07000131",80428,"Straight or Heterosexual",73899,"0.918821803"
"E07000131",80428,"Gay or Lesbian",923,"0.011476103"
"E07000131",80428,"Bisexual",620,"0.007708758"
"E07000131",80428,"All other sexual orientations",141,"0.001753121"
"E07000131",80428,"Not answered",4845,"0.060240215"
"E07000132",93918,"Straight or Heterosexual",86221,"0.918045529"
"E07000132",93918,"Gay or Lesbian",1105,"0.011765583"
"E07000132",93918,"Bisexual",865,"0.009210162"
"E07000132",93918,"All other sexual orientations",195,"0.002076279"
"E07000132",93918,"Not answered",5532,"0.058902447"
"E07000133",42943,"Straight or Heterosexual",39330,"0.915865217"
"E07000133",42943,"Gay or Lesbian",479,"0.011154321"
"E07000133",42943,"Bisexual",403,"0.009384533"
"E07000133",42943,"All other sexual orientations",74,"0.001723214"
"E07000133",42943,"Not answered",2657,"0.061872715"
"E07000134",86165,"Straight or Heterosexual",78803,"0.914559276"
"E07000134",86165,"Gay or Lesbian",1072,"0.012441246"
"E07000134",86165,"Bisexual",866,"0.010050485"
"E07000134",86165,"All other sexual orientations",201,"0.002332734"
"E07000134",86165,"Not answered",5223,"0.060616260"
"E07000135",47210,"Straight or Heterosexual",42558,"0.901461555"
"E07000135",47210,"Gay or Lesbian",422,"0.008938784"
"E07000135",47210,"Bisexual",427,"0.009044694"
"E07000135",47210,"All other sexual orientations",121,"0.002563016"
"E07000135",47210,"Not answered",3682,"0.077991951"
"E07000136",57584,"Straight or Heterosexual",50755,"0.881408030"
"E07000136",57584,"Gay or Lesbian",567,"0.009846485"
"E07000136",57584,"Bisexual",493,"0.008561406"
"E07000136",57584,"All other sexual orientations",188,"0.003264796"
"E07000136",57584,"Not answered",5581,"0.096919283"
"E07000137",121418,"Straight or Heterosexual",109121,"0.898721771"
"E07000137",121418,"Gay or Lesbian",1461,"0.012032812"
"E07000137",121418,"Bisexual",1019,"0.008392495"
"E07000137",121418,"All other sexual orientations",221,"0.001820158"
"E07000137",121418,"Not answered",9596,"0.079032763"
"E07000138",87068,"Straight or Heterosexual",73780,"0.847383654"
"E07000138",87068,"Gay or Lesbian",1880,"0.021592319"
"E07000138",87068,"Bisexual",2974,"0.034157210"
"E07000138",87068,"All other sexual orientations",670,"0.007695135"
"E07000138",87068,"Not answered",7764,"0.089171682"
"E07000139",98015,"Straight or Heterosexual",89493,"0.913054124"
