"ltla21_code","total_population","legal_partnership","n","prop"
"E08000021",248450,"Married or in a registered civil partnership: Married: Same sex; measures: Value",638,"0.002567921111"
"E08000021",248450,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",512,"0.002060776816"
"E08000021",248450,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",226,"0.000909639767"
"E08000021",248450,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",286,"0.001151137050"
"E08000021",248450,"Separated, but still legally married or still legally in a civil partnership; measures: Value",5530,"0.022257999598"
"E08000021",248450,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",5488,"0.022088951499"
"E08000021",248450,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",42,"0.000169048098"
"E08000021",248450,"Divorced or civil partnership dissolved; measures: Value",18353,"0.073869993963"
"E08000021",248450,"Divorced or civil partnership dissolved: Divorced; measures: Value",18299,"0.073652646408"
"E08000021",248450,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",54,"0.000217347555"
"E08000021",248450,"Widowed or surviving civil partnership partner; measures: Value",12611,"0.050758703965"
"E08000021",248450,"Widowed or surviving civil partnership partner: Widowed; measures: Value",12588,"0.050666130006"
"E08000021",248450,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",23,"0.000092573959"
"E08000022",171509,"Never married and never registered a civil partnership; measures: Value",61425,"0.358144470553"
"E08000022",171509,"Married or in a registered civil partnership; measures: Value",76283,"0.444775492831"
"E08000022",171509,"Married or in a registered civil partnership: Married; measures: Value",75951,"0.442839734358"
"E08000022",171509,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",75387,"0.439551277192"
"E08000022",171509,"Married or in a registered civil partnership: Married: Same sex; measures: Value",564,"0.003288457166"
"E08000022",171509,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",332,"0.001935758473"
"E08000022",171509,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",116,"0.000676349346"
"E08000022",171509,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",216,"0.001259409127"
"E08000022",171509,"Separated, but still legally married or still legally in a civil partnership; measures: Value",4341,"0.025310625098"
"E08000022",171509,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",4318,"0.025176521349"
"E08000022",171509,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",23,"0.000134103750"
"E08000022",171509,"Divorced or civil partnership dissolved; measures: Value",17434,"0.101650642240"
"E08000022",171509,"Divorced or civil partnership dissolved: Divorced; measures: Value",17390,"0.101394095937"
"E08000022",171509,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",44,"0.000256546304"
"E08000022",171509,"Widowed or surviving civil partnership partner; measures: Value",12026,"0.070118769277"
"E08000022",171509,"Widowed or surviving civil partnership partner: Widowed; measures: Value",12018,"0.070072124495"
"E08000022",171509,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",8,"0.000046644782"
"E08000023",121293,"Never married and never registered a civil partnership; measures: Value",46075,"0.379865284889"
"E08000023",121293,"Married or in a registered civil partnership; measures: Value",50398,"0.415506253452"
"E08000023",121293,"Married or in a registered civil partnership: Married; measures: Value",50210,"0.413956287667"
"E08000023",121293,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",49940,"0.411730272975"
"E08000023",121293,"Married or in a registered civil partnership: Married: Same sex; measures: Value",270,"0.002226014692"
"E08000023",121293,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",188,"0.001549965785"
"E08000023",121293,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",77,"0.000634826412"
"E08000023",121293,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",111,"0.000915139373"
"E08000023",121293,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3320,"0.027371736209"
"E08000023",121293,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3301,"0.027215090731"
"E08000023",121293,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",19,"0.000156645478"
"E08000023",121293,"Divorced or civil partnership dissolved; measures: Value",12538,"0.103369526683"
"E08000023",121293,"Divorced or civil partnership dissolved: Divorced; measures: Value",12511,"0.103146925214"
"E08000023",121293,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",27,"0.000222601469"
"E08000023",121293,"Widowed or surviving civil partnership partner; measures: Value",8962,"0.073887198767"
"E08000023",121293,"Widowed or surviving civil partnership partner: Widowed; measures: Value",8951,"0.073796509279"
"E08000023",121293,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",11,"0.000090689487"
"E08000024",226068,"Never married and never registered a civil partnership; measures: Value",87451,"0.386834934621"
"E08000024",226068,"Married or in a registered civil partnership; measures: Value",96402,"0.426429215988"
"E08000024",226068,"Married or in a registered civil partnership: Married; measures: Value",96101,"0.425097758197"
"E08000024",226068,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",95634,"0.423032008068"
"E08000024",226068,"Married or in a registered civil partnership: Married: Same sex; measures: Value",467,"0.002065750128"
"E08000024",226068,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",301,"0.001331457791"
"E08000024",226068,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",138,"0.000610435798"
"E08000024",226068,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",163,"0.000721021993"
"E08000024",226068,"Separated, but still legally married or still legally in a civil partnership; measures: Value",5591,"0.024731496718"
"E08000024",226068,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",5555,"0.024572252597"
"E08000024",226068,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",36,"0.000159244121"
"E08000024",226068,"Divorced or civil partnership dissolved; measures: Value",20404,"0.090256029159"
"E08000024",226068,"Divorced or civil partnership dissolved: Divorced; measures: Value",20366,"0.090087938143"
"E08000024",226068,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",38,"0.000168091017"
"E08000024",226068,"Widowed or surviving civil partnership partner; measures: Value",16220,"0.071748323513"
"E08000024",226068,"Widowed or surviving civil partnership partner: Widowed; measures: Value",16214,"0.071721782826"
"E08000024",226068,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",6,"0.000026540687"
"E08000037",161749,"Never married and never registered a civil partnership; measures: Value",62821,"0.388385708722"
"E08000037",161749,"Married or in a registered civil partnership; measures: Value",68406,"0.422914515700"
"E08000037",161749,"Married or in a registered civil partnership: Married; measures: Value",68109,"0.421078337424"
"E08000037",161749,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",67651,"0.418246789779"
"E08000037",161749,"Married or in a registered civil partnership: Married: Same sex; measures: Value",458,"0.002831547645"
"E08000037",161749,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",297,"0.001836178276"
"E08000037",161749,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",112,"0.000692430865"
"E08000037",161749,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",185,"0.001143747411"
"E08000037",161749,"Separated, but still legally married or still legally in a civil partnership; measures: Value",3969,"0.024538018782"
"E08000037",161749,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",3944,"0.024383458321"
"E08000037",161749,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value",25,"0.000154560461"
"E08000037",161749,"Divorced or civil partnership dissolved; measures: Value",15223,"0.094114955888"
"E08000037",161749,"Divorced or civil partnership dissolved: Divorced; measures: Value",15180,"0.093849111896"
"E08000037",161749,"Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value",43,"0.000265843993"
"E08000037",161749,"Widowed or surviving civil partnership partner; measures: Value",11330,"0.070046800908"
"E08000037",161749,"Widowed or surviving civil partnership partner: Widowed; measures: Value",11322,"0.069997341560"
"E08000037",161749,"Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value",8,"0.000049459348"
"E06000006",103946,"Never married and never registered a civil partnership; measures: Value",40858,"0.393069478383"
"E06000006",103946,"Married or in a registered civil partnership; measures: Value",43841,"0.421767071364"
"E06000006",103946,"Married or in a registered civil partnership: Married; measures: Value",43676,"0.420179708695"
"E06000006",103946,"Married or in a registered civil partnership: Married: Opposite sex; measures: Value",43442,"0.417928539819"
"E06000006",103946,"Married or in a registered civil partnership: Married: Same sex; measures: Value",234,"0.002251168876"
"E06000006",103946,"Married or in a registered civil partnership: In a registered civil partnership; measures: Value",165,"0.001587362669"
"E06000006",103946,"Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value",64,"0.000615704308"
"E06000006",103946,"Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value",101,"0.000971658361"
"E06000006",103946,"Separated, but still legally married or still legally in a civil partnership; measures: Value",2524,"0.024281838647"
"E06000006",103946,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value",2503,"0.024079810671"
