"nhs_trust22_code","date","general_acute_beds_available","general_acute_beds_occupied","general_acute_beds_occupancy_rate","adult_general_acute_beds_available","adult_general_acute_beds_occupied","adult_general_acute_beds_occupancy_rate","paediatric_general_acute_beds_available","paediatric_general_acute_beds_occupied","paediatric_general_acute_beds_occupancy_rate","adult_critical_care_beds_available","adult_critical_care_beds_occupied","adult_critical_care_occupancy_rate","paediatric_intensive_cared_beds_available","paediatric_intensive_cared_beds_occupied","paediatric_intensive_cared_occupancy_rate","neonatal_intensive_care_bed_available","neonatal_intensive_care_bed_occupied","neonatal_intensive_care_occupancy_rate"
"RPC","December 2024",55,23,0.42,53,23,0.434,2,0,0.048,4,2,0.524,NA,NA,NA,NA,NA,NA
"RPY","December 2024",204,168,0.824,186,158,0.848,18,10,0.572,16,11,0.663,NA,NA,NA,NA,NA,NA
"RQ3","December 2024",287,226,0.788,24,14,0.582,263,212,0.807,0,0,NA,30,29,0.963,21,11,0.54
"RQM","December 2024",776,742,0.956,706,691,0.979,70,51,0.723,24,20,0.846,10,7,0.663,50,42,0.844
"RQW","December 2024",463,457,0.986,445,444,0.997,18,13,0.728,10,8,0.813,0,0,NA,6,4,0.624
"RQX","December 2024",277,259,0.936,259,246,0.952,18,13,0.707,12,11,0.892,0,0,NA,23,23,0.996
"RR7","December 2024",476,456,0.959,476,456,0.959,0,0,NA,12,9,0.753,0,0,NA,0,0,NA
"RR8","December 2024",1762,1675,0.95,1625,1555,0.957,138,120,0.872,75,73,0.965,15,11,0.763,25,21,0.846
"RRF","December 2024",423,410,0.968,423,410,0.968,0,0,NA,11,7,0.657,0,0,NA,1,0,0.097
"RRJ","December 2024",86,69,0.798,86,69,0.798,0,0,NA,6,3,0.532,0,0,NA,0,0,NA
"RRK","December 2024",2479,2401,0.968,2401,2334,0.972,78,66,0.851,97,94,0.977,NA,NA,NA,12,8,0.661
"RRV","December 2024",761,638,0.839,698,600,0.86,63,38,0.606,72,52,0.729,0,0,NA,30,25,0.818
"RTD","December 2024",1424,1256,0.882,1263,1127,0.893,161,128,0.795,78,61,0.786,26,23,0.889,12,6,0.505
"RTE","December 2024",859,773,0.9,799,738,0.924,60,35,0.576,25,17,0.69,0,0,NA,12,6,0.484
"RTF","December 2024",859,785,0.914,841,774,0.921,18,11,0.595,15,13,0.883,0,0,NA,12,7,0.608
"RTG","December 2024",1478,1356,0.918,1438,1330,0.925,40,26,0.651,52,45,0.862,NA,NA,NA,28,26,0.946
"RTH","December 2024",992,931,0.938,912,863,0.946,80,68,0.847,58,37,0.641,17,12,0.732,33,32,0.949
"RTK","December 2024",441,416,0.944,421,399,0.949,20,17,0.831,11,9,0.798,0,0,NA,8,3,0.419
"RTP","December 2024",665,647,0.973,636,621,0.977,30,26,0.875,17,15,0.894,0,0,NA,23,9,0.405
"RTR","December 2024",947,850,0.897,879,809,0.92,68,40,0.598,58,47,0.819,0,0,1,16,15,0.94
"RTX","December 2024",605,537,0.887,572,520,0.91,33,16,0.492,14,9,0.616,0,0,NA,0,0,NA
"RVJ","December 2024",924,884,0.957,924,884,0.957,NA,NA,NA,46,39,0.856,NA,NA,NA,32,27,0.852
"RVR","December 2024",639,550,0.86,607,530,0.873,32,20,0.619,21,16,0.76,0,0,NA,0,0,NA
"RVV","December 2024",1073,996,0.929,1018,954,0.937,54,42,0.771,47,30,0.637,NA,NA,NA,44,22,0.503
"RVW","December 2024",543,502,0.924,517,487,0.943,26,15,0.561,16,13,0.829,0,0,NA,0,0,NA
"RWA","December 2024",1127,1033,0.917,1076,997,0.926,51,36,0.717,44,36,0.818,0,0,NA,6,5,0.911
"RWD","December 2024",1042,958,0.919,1002,930,0.928,40,28,0.693,25,16,0.639,0,0,NA,23,13,0.558
"RWE","December 2024",1733,1564,0.903,1625,1485,0.914,108,79,0.735,86,56,0.647,15,15,0.985,42,37,0.875
"RWF","December 2024",694,599,0.863,670,580,0.865,24,19,0.8,31,17,0.547,0,0,NA,0,0,NA
"RWG","December 2024",610,559,0.917,572,535,0.936,38,24,0.629,19,15,0.778,0,0,NA,7,3,0.461
"RWH","December 2024",589,521,0.885,559,501,0.896,30,21,0.686,18,15,0.806,NA,NA,NA,10,5,0.539
"RWJ","December 2024",643,597,0.929,616,581,0.943,27,16,0.609,13,10,0.793,0,0,NA,5,2,0.387
"RWP","December 2024",866,803,0.927,835,780,0.934,31,23,0.743,15,13,0.826,NA,NA,NA,6,3,0.516
"RWW","December 2024",574,530,0.924,534,509,0.953,40,21,0.535,17,14,0.837,0,0,NA,2,0,0.177
"RWY","December 2024",718,688,0.958,675,657,0.973,42,31,0.72,11,10,0.909,0,0,NA,6,5,0.806
"RX1","December 2024",1685,1540,0.914,1574,1449,0.921,112,91,0.82,66,51,0.777,14,13,0.911,42,34,0.82
"RXC","December 2024",758,741,0.977,740,725,0.979,18,16,0.9,19,12,0.652,0,0,NA,12,5,0.409
"RXF","December 2024",1028,964,0.938,993,948,0.955,35,16,0.448,18,14,0.805,0,0,NA,7,2,0.35
"RXK","December 2024",578,527,0.913,542,504,0.93,36,23,0.649,17,17,1,0,0,NA,33,19,0.579
"RXL","December 2024",776,727,0.937,732,708,0.968,44,19,0.43,34,26,0.776,0,0,NA,4,2,0.435
"RXN","December 2024",857,799,0.933,827,778,0.941,30,21,0.702,34,29,0.846,0,0,NA,28,18,0.647
"RXP","December 2024",877,778,0.887,844,754,0.894,33,24,0.713,21,14,0.665,NA,NA,NA,NA,NA,NA
"RXQ","December 2024",457,414,0.905,417,386,0.926,40,27,0.684,18,13,0.693,0,0,NA,5,3,0.611
"RXR","December 2024",788,745,0.945,735,707,0.962,53,38,0.714,28,23,0.81,NA,NA,NA,8,5,0.641
"RXW","December 2024",822,779,0.948,791,754,0.954,31,25,0.807,25,15,0.605,0,0,NA,6,4,0.699
"RYJ","December 2024",1035,962,0.929,1001,928,0.928,35,34,0.967,94,88,0.937,13,10,0.758,46,34,0.741
"RYR","December 2024",1768,1683,0.952,1683,1615,0.96,85,68,0.794,65,56,0.872,0,0,NA,67,31,0.462
"R0A","January 2025",2265,2108,0.93,1975,1886,0.955,290,222,0.765,124,103,0.83,46,43,0.927,72,57,0.798
"R0B","January 2025",1147,1047,0.913,1099,1021,0.93,48,26,0.534,22,17,0.776,0,0,NA,6,5,0.727
"R0D","January 2025",1114,1052,0.944,1088,1038,0.954,26,14,0.553,22,18,0.826,0,0,NA,20,11,0.574
"R1F","January 2025",294,290,0.985,284,284,1,10,5,0.548,6,6,0.954,0,0,NA,0,0,NA
"R1H","January 2025",1713,1525,0.89,1551,1408,0.908,162,117,0.719,115,107,0.932,5,3,0.68,53,42,0.778
"R1K","January 2025",1094,1058,0.967,1070,1035,0.968,24,22,0.927,56,49,0.879,0,0,NA,5,4,0.871
"RA2","January 2025",479,465,0.97,457,449,0.983,22,15,0.686,19,18,0.924,0,0,NA,4,2,0.548
"RA7","January 2025",1055,952,0.902,913,839,0.919,142,113,0.794,55,53,0.961,18,11,0.62,31,25,0.818
"RA9","January 2025",404,390,0.965,384,378,0.983,19,12,0.612,10,6,0.6,NA,NA,NA,NA,NA,NA
"RAE","January 2025",621,558,0.899,577,529,0.917,44,29,0.66,15,12,0.851,0,0,NA,10,10,1
"RAJ","January 2025",1778,1705,0.959,1703,1660,0.974,75,45,0.6,82,73,0.893,0,0,NA,28,14,0.511
"RAL","January 2025",1460,1418,0.971,1402,1371,0.978,58,47,0.814,89,83,0.933,0,0,NA,4,1,0.234
"RAN","January 2025",168,130,0.771,141,115,0.815,27,15,0.538,10,5,0.458,6,2,0.387,0,0,NA
"RAS","January 2025",394,377,0.956,370,361,0.976,24,16,0.652,12,11,0.882,NA,NA,NA,12,7,0.579
"RAX","January 2025",410,378,0.923,386,363,0.939,24,16,0.657,15,13,0.834,NA,NA,NA,20,9,0.469
"RBD","January 2025",343,336,0.979,329,327,0.996,14,8,0.592,9,8,0.938,0,0,NA,0,0,NA
"RBK","January 2025",574,550,0.957,529,519,0.981,45,31,0.678,13,11,0.831,NA,NA,NA,2,1,0.563
"RBL","January 2025",775,737,0.95,756,725,0.959,19,11,0.593,18,12,0.697,NA,NA,NA,7,4,0.562
"RBN","January 2025",1216,1199,0.986,1178,1164,0.988,38,34,0.906,32,22,0.703,0,0,NA,0,0,NA
"RBQ","January 2025",156,119,0.761,156,119,0.761,NA,NA,NA,30,21,0.711,NA,NA,NA,NA,NA,NA
"RBS","January 2025",203,161,0.794,0,0,NA,203,161,0.794,0,0,NA,21,16,0.776,0,0,NA
"RBT","January 2025",537,498,0.928,510,486,0.953,27,12,0.459,12,10,0.827,0,0,NA,15,5,0.331
"RBV","January 2025",178,163,0.915,178,163,0.915,NA,NA,NA,8,5,0.629,NA,NA,NA,NA,NA,NA
"RC9","January 2025",1096,1042,0.951,998,969,0.971,98,73,0.746,26,16,0.634,0,0,NA,22,16,0.733
"RCB","January 2025",899,844,0.938,859,826,0.961,40,18,0.442,30,13,0.425,0,0,NA,2,0,0
"RCD","January 2025",354,304,0.86,331,297,0.896,23,7,0.326,11,6,0.563,0,0,NA,0,0,NA
"RCF","January 2025",396,377,0.952,381,367,0.963,15,10,0.678,7,6,0.84,0,0,NA,0,0,NA
"RCU","January 2025",152,91,0.601,0,0,NA,152,91,0.601,0,0,NA,9,6,0.695,2,0,0.177
"RCX","January 2025",513,490,0.955,493,476,0.965,20,14,0.7,13,10,0.754,NA,NA,NA,3,0,0
"RD1","January 2025",517,499,0.964,495,483,0.976,22,16,0.711,13,11,0.834,0,0,NA,7,5,0.691
"RD8","January 2025",520,495,0.952,471,470,0.998,49,25,0.512,10,6,0.565,0,0,NA,4,3,0.798
"RDE","January 2025",1245,1206,0.968,1204,1178,0.979,41,27,0.67,32,23,0.727,0,0,NA,11,9,0.773
"RDU","January 2025",1251,1160,0.928,1197,1125,0.94,54,36,0.662,25,23,0.926,0,0,NA,25,21,0.835
"REF","January 2025",657,630,0.959,620,614,0.989,37,17,0.453,17,13,0.763,0,0,NA,7,3,0.41
"REM","January 2025",1622,1575,0.971,1622,1575,0.971,0,0,NA,60,49,0.818,NA,NA,NA,NA,NA,NA
"REN","January 2025",101,94,0.928,101,94,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REP","January 2025",24,13,0.555,24,13,0.555,NA,NA,NA,2,1,0.468,NA,NA,NA,44,34,0.776
"RET","January 2025",150,137,0.908,150,137,0.908,0,0,NA,20,15,0.735,0,0,NA,0,0,NA
"RF4","January 2025",945,884,0.936,909,853,0.939,36,31,0.859,54,50,0.92,0,0,NA,10,9,0.887
"RFF","January 2025",485,472,0.972,477,468,0.98,8,4,0.512,25,19,0.761,0,0,NA,2,1,0.548
"RFR","January 2025",474,453,0.955,452,440,0.973,22,13,0.585,14,10,0.703,0,0,NA,14,11,0.763
"RFS","January 2025",564,532,0.942,546,520,0.951,18,12,0.668,15,14,0.901,0,0,NA,3,3,0.883
"RGM","January 2025",183,173,0.942,183,173,0.942,NA,NA,NA,35,32,0.907,NA,NA,NA,NA,NA,NA
"RGN","January 2025",1015,986,0.972,971,952,0.98,43,34,0.787,22,18,0.808,NA,NA,NA,3,2,0.692
"RGP","January 2025",489,470,0.961,461,452,0.982,28,17,0.622,12,10,0.804,0,0,NA,9,4,0.394
"RGR","January 2025",486,459,0.945,470,447,0.951,16,12,0.775,16,14,0.896,0,0,NA,12,7,0.616
"RGT","January 2025",1047,970,0.926,971,912,0.939,76,58,0.762,67,55,0.825,9,5,0.56,50,33,0.657
"RH5","January 2025",1044,981,0.94,976,944,0.968,68,37,0.546,27,22,0.818,0,0,NA,8,3,0.362
"RH8","January 2025",1151,1042,0.906,1103,1022,0.926,48,21,0.432,37,19,0.526,0,0,0,8,7,0.825
"RHM","January 2025",1118,1056,0.944,1023,979,0.957,95,76,0.806,99,82,0.829,14,12,0.876,12,7,0.575
"RHQ","January 2025",1560,1477,0.947,1560,1477,0.947,NA,NA,NA,121,76,0.63,NA,NA,NA,40,27,0.666
"RHU","January 2025",1165,1121,0.963,1135,1107,0.975,30,15,0.489,20,20,0.986,0,0,NA,14,12,0.839
"RHW","January 2025",577,551,0.956,518,508,0.98,59,44,0.739,19,19,0.983,NA,NA,NA,2,1,0.339
"RJ1","January 2025",1228,1100,0.896,1108,1022,0.923,120,78,0.651,173,166,0.959,23,14,0.626,20,18,0.876
"RJ2","January 2025",1004,985,0.982,965,953,0.987,39,33,0.851,36,29,0.804,0,0,NA,5,1,0.2
"RJ6","January 2025",488,477,0.979,470,464,0.989,18,13,0.72,15,15,1,0,0,NA,9,3,0.362
"RJ7","January 2025",832,788,0.946,781,749,0.958,51,39,0.764,55,52,0.947,15,11,0.729,40,32,0.792
"RJC","January 2025",427,390,0.914,410,379,0.923,17,12,0.683,7,6,0.829,0,0,NA,12,5,0.406
"RJE","January 2025",1400,1296,0.926,1334,1250,0.937,66,46,0.7,66,59,0.894,6,3,0.495,12,7,0.624
"RJL","January 2025",632,590,0.935,591,572,0.968,40,18,0.447,14,13,0.933,0,0,NA,27,13,0.477
"RJN","January 2025",316,298,0.943,300,291,0.97,16,7,0.417,7,5,0.71,0,0,NA,0,0,NA
"RJR","January 2025",503,492,0.977,481,480,0.997,22,12,0.538,15,14,0.921,0,0,NA,12,6,0.473
"RJZ","January 2025",1378,1343,0.975,1306,1285,0.984,72,58,0.812,127,122,0.959,16,11,0.679,48,39,0.808
"RK5","January 2025",714,680,0.952,688,664,0.965,26,16,0.617,12,11,0.866,0,0,NA,10,3,0.268
"RK9","January 2025",1077,991,0.92,1019,970,0.952,58,22,0.373,46,27,0.593,0,0,NA,15,14,0.951
"RKB","January 2025",1089,1064,0.977,1030,1022,0.992,59,43,0.722,44,37,0.837,0,0,NA,27,23,0.864
"RKE","January 2025",266,259,0.973,249,246,0.987,17,13,0.757,12,12,0.953,0,0,NA,6,3,0.435
"RL1","January 2025",141,109,0.773,132,106,0.801,10,4,0.378,5,3,0.594,NA,NA,NA,NA,NA,NA
"RL4","January 2025",822,791,0.962,796,766,0.963,26,24,0.939,28,22,0.796,0,0,NA,14,13,0.91
"RLQ","January 2025",333,332,0.999,321,321,0.999,12,12,1,8,5,0.665,0,0,NA,3,0,0.075
"RLT","January 2025",410,406,0.989,410,406,0.989,NA,NA,NA,8,6,0.79,NA,NA,NA,NA,NA,NA
"RM1","January 2025",962,923,0.959,936,908,0.97,26,16,0.586,43,35,0.801,0,0,NA,15,12,0.774
"RM3","January 2025",1542,1414,0.917,1509,1396,0.925,33,18,0.539,64,56,0.88,NA,NA,NA,9,6,0.627
"RMC","January 2025",618,566,0.917,559,530,0.947,59,37,0.628,18,13,0.749,0,0,NA,16,15,0.917
"RMP","January 2025",458,426,0.93,418,407,0.973,40,19,0.486,9,8,0.853,0,0,NA,1,0,0.097
"RN3","January 2025",589,566,0.96,555,540,0.973,34,26,0.75,12,9,0.737,0,0,NA,8,6,0.754
"RN5","January 2025",866,800,0.924,816,776,0.951,50,24,0.489,27,21,0.779,NA,NA,NA,4,0,0.024
"RN7","January 2025",537,500,0.93,493,474,0.961,44,26,0.582,13,12,0.95,0,0,NA,0,0,NA
"RNA","January 2025",683,656,0.959,650,638,0.982,33,17,0.518,30,25,0.831,0,0,NA,18,11,0.618
"RNN","January 2025",606,550,0.908,559,533,0.954,47,17,0.358,15,12,0.802,0,0,NA,0,0,NA
"RNQ","January 2025",596,581,0.976,574,564,0.983,22,18,0.799,10,9,0.942,NA,NA,NA,4,0,0.105
"RNS","January 2025",679,646,0.95,614,611,0.994,65,35,0.534,16,12,0.746,0,0,NA,2,0,0.145
"RNZ","January 2025",478,463,0.969,462,455,0.984,16,9,0.544,10,8,0.819,0,0,NA,4,0,0
"RP4","January 2025",254,200,0.789,NA,NA,NA,254,200,0.789,NA,NA,NA,47,39,0.837,NA,NA,NA
"RP5","January 2025",742,710,0.957,722,697,0.966,20,13,0.629,26,21,0.803,0,0,NA,3,1,0.476
"RP6","January 2025",10,3,0.329,10,3,0.329,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"RPA","January 2025",568,550,0.967,545,536,0.983,23,14,0.589,38,28,0.746,0,0,NA,20,15,0.75
"RPC","January 2025",55,23,0.414,53,23,0.428,2,0,0.032,4,3,0.702,NA,NA,NA,NA,NA,NA
"RPY","January 2025",209,175,0.839,192,163,0.847,17,13,0.742,16,13,0.817,NA,NA,NA,NA,NA,NA
"RQ3","January 2025",287,231,0.806,24,16,0.685,263,215,0.817,0,0,NA,28,26,0.93,21,9,0.413
"RQM","January 2025",793,752,0.949,723,702,0.971,70,50,0.718,25,24,0.953,10,7,0.665,50,41,0.813
"RQW","January 2025",466,457,0.982,448,447,0.998,18,11,0.604,10,8,0.784,0,0,NA,6,2,0.36
"RQX","January 2025",279,262,0.938,261,250,0.957,18,12,0.67,12,12,0.982,0,0,NA,20,20,0.987
"RR7","January 2025",476,455,0.956,476,455,0.956,0,0,NA,12,9,0.747,0,0,NA,0,0,NA
"RR8","January 2025",1811,1761,0.972,1671,1634,0.977,140,127,0.907,64,63,0.973,15,11,0.712,26,23,0.912
"RRF","January 2025",464,438,0.944,464,438,0.944,0,0,NA,11,7,0.625,0,0,NA,1,0,0.091
"RRJ","January 2025",92,70,0.762,92,70,0.762,0,0,NA,6,4,0.594,0,0,NA,0,0,NA
"RRK","January 2025",2482,2431,0.979,2404,2364,0.983,78,66,0.852,100,97,0.966,NA,NA,NA,12,7,0.551
"RRV","January 2025",760,662,0.871,696,620,0.89,64,42,0.656,73,58,0.797,0,0,NA,30,24,0.795
"RTD","January 2025",1459,1316,0.902,1291,1176,0.911,168,140,0.835,82,66,0.804,26,21,0.799,12,8,0.651
"RTE","January 2025",856,769,0.898,796,743,0.933,60,26,0.432,25,20,0.816,0,0,NA,12,5,0.435
"RTF","January 2025",890,837,0.94,872,828,0.949,19,9,0.508,15,12,0.776,0,0,NA,12,7,0.567
"RTG","January 2025",1491,1394,0.935,1451,1369,0.944,40,24,0.606,52,47,0.901,NA,NA,NA,28,24,0.839
"RTH","January 2025",1048,995,0.95,963,923,0.958,84,72,0.856,59,43,0.735,17,10,0.613,31,28,0.908
"RTK","January 2025",452,426,0.943,432,413,0.956,20,13,0.665,11,10,0.884,0,0,NA,8,5,0.649
"RTP","January 2025",677,663,0.978,648,639,0.987,30,24,0.797,17,14,0.81,0,0,NA,23,10,0.456
"RTR","January 2025",969,883,0.911,901,847,0.941,68,36,0.525,61,53,0.869,0,0,NA,15,14,0.897
"RTX","January 2025",623,551,0.885,590,539,0.914,33,12,0.366,14,9,0.662,0,0,NA,0,0,NA
"RVJ","January 2025",929,909,0.979,929,909,0.979,NA,NA,NA,46,40,0.879,NA,NA,NA,32,25,0.796
"RVR","January 2025",663,563,0.85,631,546,0.866,32,17,0.542,21,18,0.839,0,0,NA,0,0,NA
"RVV","January 2025",1093,1022,0.935,1038,988,0.951,55,34,0.626,47,35,0.734,NA,NA,NA,44,24,0.544
"RVW","January 2025",554,521,0.942,528,508,0.964,26,13,0.501,16,13,0.813,0,0,NA,0,0,NA
"RWA","January 2025",1150,1085,0.943,1103,1053,0.955,47,32,0.671,44,38,0.862,0,0,NA,5,4,0.812
"RWD","January 2025",1054,981,0.931,1014,958,0.944,40,24,0.588,25,20,0.786,0,0,NA,23,10,0.447
"RWE","January 2025",1737,1622,0.934,1629,1539,0.945,108,83,0.766,86,54,0.628,13,12,0.932,42,35,0.835
"RWF","January 2025",696,623,0.895,672,601,0.895,24,21,0.884,31,20,0.647,0,0,NA,0,0,NA
"RWG","January 2025",589,560,0.951,551,541,0.982,38,19,0.497,19,13,0.684,0,0,NA,7,5,0.668
"RWH","January 2025",589,538,0.913,559,520,0.931,30,17,0.582,18,15,0.812,NA,NA,NA,10,2,0.232
"RWJ","January 2025",647,609,0.941,620,596,0.961,27,13,0.489,13,11,0.877,0,0,NA,5,2,0.471
"RWP","January 2025",887,830,0.936,856,810,0.946,31,20,0.651,16,14,0.882,NA,NA,NA,6,2,0.379
"RWW","January 2025",585,548,0.938,545,529,0.972,40,19,0.474,17,16,0.918,0,0,NA,2,1,0.306
"RWY","January 2025",743,712,0.959,701,690,0.984,42,23,0.544,12,10,0.908,0,0,NA,6,4,0.591
"RX1","January 2025",1731,1630,0.941,1619,1546,0.955,113,84,0.743,66,53,0.81,14,10,0.684,42,36,0.855
"RXC","January 2025",783,765,0.976,766,751,0.98,17,14,0.797,19,14,0.723,0,0,NA,12,4,0.306
"RXF","January 2025",1058,1003,0.948,1023,990,0.968,35,13,0.369,18,14,0.751,0,0,NA,7,4,0.594
"RXK","January 2025",572,522,0.913,536,507,0.946,36,15,0.417,17,17,1,0,0,NA,33,19,0.585
"RXL","January 2025",784,743,0.947,740,718,0.971,44,24,0.555,34,29,0.845,0,0,NA,4,4,0.895
"RXN","January 2025",858,830,0.967,828,808,0.975,30,22,0.725,34,30,0.872,0,0,NA,28,19,0.676
"RXP","January 2025",877,808,0.921,844,789,0.935,33,19,0.577,21,16,0.754,NA,NA,NA,NA,NA,NA
"RXQ","January 2025",471,437,0.928,436,416,0.953,35,21,0.61,18,13,0.746,0,0,NA,5,4,0.761
"RXR","January 2025",781,742,0.949,728,708,0.973,54,34,0.626,28,23,0.818,NA,NA,NA,8,4,0.552
"RXW","January 2025",826,786,0.952,795,763,0.96,31,23,0.74,25,14,0.542,0,0,NA,6,5,0.784
"RYJ","January 2025",1036,991,0.956,1004,962,0.958,32,29,0.888,94,85,0.912,13,8,0.608,46,29,0.637
"RYR","January 2025",1821,1730,0.95,1734,1653,0.953,87,77,0.884,66,61,0.915,0,0,NA,67,27,0.402
"R0A","February 2025",2264,2116,0.935,1974,1888,0.957,290,228,0.785,125,104,0.833,46,42,0.909,72,55,0.764
"R0B","February 2025",1129,1026,0.909,1082,999,0.923,47,27,0.579,22,13,0.583,0,0,NA,6,4,0.663
"R0D","February 2025",1102,1049,0.952,1076,1033,0.959,26,16,0.632,22,17,0.784,0,0,NA,20,12,0.607
"R1F","February 2025",293,289,0.986,283,283,1,11,6,0.609,6,5,0.786,0,0,NA,0,0,NA
"R1H","February 2025",1703,1522,0.893,1541,1402,0.91,163,120,0.736,116,106,0.915,5,4,0.786,50,38,0.764
"R1K","February 2025",1078,1042,0.966,1054,1025,0.972,24,16,0.686,56,49,0.878,0,0,NA,5,4,0.836
"RA2","February 2025",480,464,0.967,457,449,0.981,23,16,0.688,17,16,0.925,0,0,NA,4,1,0.232
"RA7","February 2025",1049,963,0.918,907,834,0.92,142,129,0.904,55,53,0.96,18,15,0.81,31,24,0.785
"RA9","February 2025",400,385,0.962,381,374,0.982,20,11,0.586,10,5,0.529,NA,NA,NA,NA,NA,NA
"RAE","February 2025",619,560,0.903,575,529,0.919,44,31,0.705,14,13,0.898,0,0,NA,11,11,1
"RAJ","February 2025",1749,1680,0.961,1674,1635,0.977,75,45,0.603,71,64,0.905,0,0,NA,28,14,0.503
"RAL","February 2025",1482,1441,0.973,1424,1393,0.978,58,48,0.831,89,82,0.926,0,0,NA,4,2,0.482
"RAN","February 2025",174,153,0.877,147,132,0.897,27,21,0.772,10,5,0.461,6,2,0.387,0,0,NA
"RAS","February 2025",389,368,0.948,365,353,0.967,24,16,0.664,11,9,0.82,NA,NA,NA,9,5,0.512
"RAX","February 2025",410,377,0.921,386,363,0.94,24,15,0.606,15,12,0.819,NA,NA,NA,20,8,0.418
"RBD","February 2025",330,322,0.976,316,312,0.986,14,10,0.745,8,8,0.886,0,0,NA,0,0,NA
"RBK","February 2025",572,548,0.958,527,519,0.986,45,29,0.641,13,9,0.679,NA,NA,NA,2,0,0.125
"RBL","February 2025",774,740,0.956,755,727,0.962,19,13,0.684,18,12,0.669,NA,NA,NA,7,3,0.454
"RBN","February 2025",1210,1185,0.979,1174,1154,0.983,36,31,0.858,32,19,0.593,0,0,NA,0,0,NA
"RBQ","February 2025",156,131,0.841,156,131,0.841,NA,NA,NA,30,26,0.874,NA,NA,NA,NA,NA,NA
"RBS","February 2025",203,173,0.85,0,0,NA,203,173,0.85,0,0,NA,21,17,0.816,0,0,NA
"RBT","February 2025",527,488,0.927,500,473,0.947,27,15,0.553,11,8,0.692,0,0,NA,15,6,0.402
"RBV","February 2025",178,165,0.927,178,165,0.927,NA,NA,NA,8,5,0.603,NA,NA,NA,NA,NA,NA
"RC9","February 2025",1081,1032,0.955,983,955,0.971,98,77,0.789,26,16,0.615,0,0,NA,22,15,0.698
"RCB","February 2025",890,824,0.926,849,805,0.947,40,19,0.481,31,14,0.453,0,0,NA,2,0,0
"RCD","February 2025",327,283,0.864,305,273,0.894,22,9,0.435,11,4,0.351,0,0,NA,0,0,NA
"RCF","February 2025",383,364,0.951,367,351,0.956,15,13,0.85,7,5,0.724,0,0,NA,0,0,NA
"RCU","February 2025",149,103,0.69,0,0,NA,149,103,0.69,0,0,NA,9,5,0.575,2,0,0.236
"RCX","February 2025",522,494,0.946,502,480,0.957,20,13,0.666,13,9,0.657,NA,NA,NA,3,0,0
"RD1","February 2025",521,505,0.969,497,488,0.981,24,17,0.72,13,10,0.783,0,0,NA,7,6,0.837
"RD8","February 2025",544,506,0.93,495,481,0.972,49,25,0.509,10,4,0.418,0,0,NA,4,3,0.83
"RDE","February 2025",1267,1224,0.966,1226,1194,0.974,41,30,0.727,32,21,0.642,0,0,NA,12,8,0.721
"RDU","February 2025",1249,1162,0.931,1196,1128,0.944,53,34,0.637,25,21,0.866,0,0,NA,28,22,0.779
"REF","February 2025",656,627,0.957,619,610,0.986,37,17,0.451,17,14,0.805,0,0,NA,7,3,0.485
"REM","February 2025",1621,1583,0.976,1621,1583,0.976,0,0,NA,61,48,0.787,NA,NA,NA,NA,0,NA
"REN","February 2025",101,97,0.958,101,97,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REP","February 2025",24,15,0.621,24,15,0.621,NA,NA,NA,2,1,0.464,NA,NA,NA,44,34,0.766
"RET","February 2025",152,138,0.91,152,138,0.91,0,0,NA,20,14,0.718,0,0,NA,0,0,NA
"RF4","February 2025",1000,939,0.939,963,904,0.939,38,35,0.933,55,47,0.84,0,0,NA,11,10,0.929
"RFF","February 2025",477,455,0.955,469,450,0.959,8,6,0.728,25,18,0.737,0,0,NA,2,1,0.482
"RFR","February 2025",472,446,0.945,450,433,0.961,22,13,0.61,14,10,0.691,0,0,NA,14,10,0.737
"RFS","February 2025",570,541,0.949,552,526,0.954,18,14,0.788,15,12,0.829,0,0,NA,3,3,0.86
"RGM","February 2025",184,174,0.949,184,174,0.949,NA,NA,NA,35,31,0.872,NA,NA,NA,NA,NA,NA
"RGN","February 2025",993,959,0.966,950,926,0.975,43,34,0.774,22,17,0.779,NA,NA,NA,3,2,0.472
"RGP","February 2025",488,469,0.962,460,451,0.981,28,18,0.645,12,9,0.756,0,0,NA,9,5,0.552
"RGR","February 2025",472,444,0.94,457,432,0.946,15,11,0.738,16,13,0.833,0,0,NA,12,6,0.485
"RGT","February 2025",1048,971,0.927,972,914,0.94,76,57,0.75,67,55,0.822,9,5,0.536,50,34,0.677
"RH5","February 2025",1020,971,0.952,952,929,0.976,68,42,0.613,27,20,0.734,0,0,NA,8,6,0.76
"RH8","February 2025",1142,1041,0.912,1093,1019,0.932,48,22,0.465,37,19,0.525,0,0,NA,8,7,0.841
"RHM","February 2025",1110,1061,0.956,1015,984,0.97,95,77,0.807,99,82,0.829,14,13,0.919,12,8,0.661
"RHQ","February 2025",1533,1424,0.928,1533,1424,0.928,NA,NA,NA,120,72,0.6,NA,NA,NA,37,31,0.838
"RHU","February 2025",1144,1103,0.964,1114,1085,0.974,30,18,0.598,21,21,0.99,0,0,NA,14,11,0.809
