"nhs_trust22_code","date","general_acute_beds_available","general_acute_beds_occupied","general_acute_beds_occupancy_rate","adult_general_acute_beds_available","adult_general_acute_beds_occupied","adult_general_acute_beds_occupancy_rate","paediatric_general_acute_beds_available","paediatric_general_acute_beds_occupied","paediatric_general_acute_beds_occupancy_rate","adult_critical_care_beds_available","adult_critical_care_beds_occupied","adult_critical_care_occupancy_rate","paediatric_intensive_cared_beds_available","paediatric_intensive_cared_beds_occupied","paediatric_intensive_cared_occupancy_rate","neonatal_intensive_care_bed_available","neonatal_intensive_care_bed_occupied","neonatal_intensive_care_occupancy_rate"
"RP5","April 2022",677,644,0.951,653,624,0.955,24,20,0.832,25,23,0.92,0,0,NA,2,1,0.574
"RP6","April 2022",13,4,0.328,13,4,0.328,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA
"RPA","April 2022",495,457,0.924,458,445,0.972,37,12,0.327,27,18,0.674,0,0,NA,20,10,0.503
"RPC","April 2022",48,24,0.498,46,24,0.518,2,0,0.033,5,1,0.213,NA,NA,NA,NA,NA,NA
"RPY","April 2022",200,170,0.848,183,157,0.856,17,13,0.764,15,9,0.616,NA,NA,NA,NA,NA,NA
"RQ3","April 2022",260,218,0.838,24,14,0.568,236,205,0.866,0,0,NA,29,26,0.914,20,13,0.663
"RQM","April 2022",650,610,0.939,612,578,0.945,38,33,0.854,24,21,0.848,10,5,0.54,50,41,0.813
"RQW","April 2022",413,401,0.971,399,391,0.978,14,10,0.762,12,6,0.511,0,0,NA,6,2,0.389
"RQX","April 2022",261,233,0.893,243,226,0.93,18,7,0.396,12,9,0.759,0,0,NA,24,21,0.849
"RR7","April 2022",463,437,0.944,463,437,0.944,0,0,NA,14,7,0.454,0,0,NA,0,0,NA
"RR8","April 2022",1673,1641,0.981,1542,1522,0.987,131,119,0.91,57,55,0.974,17,15,0.927,25,21,0.808
"RRF","April 2022",383,383,1,383,383,1,0,0,NA,11,6,0.53,0,0,NA,1,1,0.419
"RRJ","April 2022",117,77,0.654,117,77,0.654,0,0,NA,6,3,0.534,0,0,NA,0,0,NA
"RRK","April 2022",2461,2339,0.95,2383,2286,0.959,78,53,0.676,82,80,0.966,NA,NA,NA,12,8,0.688
"RRV","April 2022",612,591,0.966,612,591,0.966,0,0,NA,78,53,0.673,0,0,NA,32,26,0.813
"RTD","April 2022",1433,1236,0.862,1274,1105,0.867,159,131,0.823,85,67,0.792,27,22,0.813,12,10,0.797
"RTE","April 2022",860,815,0.948,814,779,0.957,46,36,0.792,25,18,0.71,0,0,NA,12,7,0.575
"RTF","April 2022",844,766,0.907,826,756,0.915,18,10,0.541,15,10,0.687,0,0,NA,12,7,0.553
"RTG","April 2022",1446,1366,0.945,1393,1323,0.95,52,42,0.805,53,40,0.748,NA,NA,NA,25,21,0.851
"RTH","April 2022",974,929,0.953,895,860,0.96,79,69,0.873,55,37,0.668,17,11,0.639,39,39,1
"RTK","April 2022",498,450,0.903,478,435,0.911,20,15,0.73,17,12,0.71,0,0,NA,8,4,0.479
"RTP","April 2022",664,653,0.983,641,632,0.986,23,21,0.905,16,13,0.806,0,0,NA,23,10,0.413
"RTR","April 2022",906,813,0.898,859,787,0.917,47,25,0.542,58,51,0.877,0,0,1,15,12,0.767
"RTX","April 2022",637,563,0.883,605,550,0.91,33,13,0.389,14,11,0.754,0,0,NA,1,0,0
"RVJ","April 2022",917,890,0.971,917,890,0.971,NA,NA,NA,46,35,0.762,NA,NA,NA,32,25,0.79
"RVR","April 2022",591,519,0.879,558,503,0.902,33,16,0.485,23,15,0.668,0,0,NA,0,0,NA
"RVV","April 2022",1034,939,0.908,986,915,0.928,48,24,0.503,34,24,0.726,NA,NA,NA,39,21,0.531
"RVW","April 2022",506,460,0.909,486,448,0.923,20,11,0.572,16,8,0.51,0,0,NA,0,0,NA
"RVY","April 2022",355,346,0.976,355,346,0.976,0,0,NA,18,9,0.524,NA,NA,NA,1,0,0
"RWA","April 2022",1018,931,0.915,972,904,0.929,46,28,0.607,44,32,0.723,0,0,NA,6,6,0.96
"RWD","April 2022",1016,932,0.917,984,913,0.929,32,18,0.571,25,15,0.58,0,0,NA,23,12,0.536
"RWE","April 2022",1637,1498,0.915,1531,1432,0.935,106,66,0.623,84,57,0.68,13,11,0.86,42,34,0.82
"RWF","April 2022",723,678,0.938,699,658,0.942,25,20,0.817,31,18,0.576,0,0,NA,0,0,NA
"RWG","April 2022",676,590,0.873,631,567,0.898,45,24,0.527,20,15,0.749,0,0,NA,6,2,0.372
"RWH","April 2022",547,492,0.901,525,476,0.906,22,17,0.765,18,14,0.765,NA,NA,NA,10,4,0.43
"RWJ","April 2022",642,611,0.952,621,593,0.954,21,18,0.89,14,10,0.681,0,0,NA,5,3,0.673
"RWP","April 2022",780,704,0.902,749,686,0.916,31,18,0.568,15,11,0.688,NA,NA,NA,6,0,0.046
"RWW","April 2022",559,513,0.919,520,497,0.956,39,16,0.42,18,16,0.911,0,0,NA,3,0,0.122
"RWY","April 2022",626,601,0.96,589,574,0.975,37,27,0.723,13,9,0.715,0,0,NA,6,4,0.611
"RX1","April 2022",1619,1455,0.899,1513,1381,0.912,106,75,0.707,69,45,0.647,15,11,0.735,40,32,0.79
"RXC","April 2022",757,715,0.945,740,704,0.951,17,12,0.688,19,13,0.704,0,0,0,12,5,0.383
"RXF","April 2022",1005,923,0.919,986,907,0.919,19,17,0.878,28,10,0.355,0,0,NA,7,3,0.374
"RXK","April 2022",641,585,0.913,607,557,0.918,34,28,0.814,19,17,0.885,0,0,NA,10,0,0
"RXL","April 2022",763,717,0.94,719,692,0.962,44,26,0.588,36,25,0.685,0,0,NA,4,2,0.5
"RXN","April 2022",755,710,0.941,725,689,0.951,30,21,0.684,34,26,0.757,0,0,NA,28,15,0.529
"RXP","April 2022",851,719,0.845,818,699,0.855,33,20,0.606,21,12,0.581,NA,NA,NA,NA,NA,NA
"RXQ","April 2022",454,418,0.92,430,398,0.925,24,20,0.826,18,11,0.624,0,0,NA,5,4,0.773
"RXR","April 2022",722,666,0.923,668,633,0.948,54,33,0.612,28,20,0.699,0,0,NA,8,6,0.704
"RXW","April 2022",773,689,0.89,737,668,0.906,36,20,0.569,22,14,0.639,0,0,NA,6,3,0.422
"RYJ","April 2022",1044,886,0.849,1007,861,0.855,37,25,0.679,100,84,0.838,16,7,0.468,51,21,0.421
"RYR","April 2022",1752,1655,0.945,1671,1606,0.961,81,49,0.606,62,52,0.846,0,0,NA,59,38,0.65
