"icb22_code","total_attendances","attendances_over_4hours","total_emergency_admissions","emergency_admissions_over_4hours","pct_attendance_over_4hours","pct_emergency_admissions_over_4hours","date"
"E54000026",35102,10351,9783,3044,0.29,0.31,"May 2025"
"E54000022",38068,9868,8590,3520,0.26,0.41,"May 2025"
"E54000028",72900,17093,9592,3802,0.23,0.4,"May 2025"
"E54000027",109027,21997,16882,3496,0.2,0.21,"May 2025"
"E54000059",31900,8284,5533,2795,0.26,0.51,"May 2025"
"E54000060",42260,11646,13082,1286,0.28,0.1,"May 2025"
"E54000030",82363,19101,11221,4490,0.23,0.4,"May 2025"
"E54000011",17291,7058,5380,1867,0.41,0.35,"May 2025"
"E54000038",22766,6151,4695,657,0.27,0.14,"May 2025"
"E54000031",60836,14714,10574,4440,0.24,0.42,"May 2025"
"E54000061",61640,15763,18958,2886,0.26,0.15,"May 2025"
"E54000010",25505,7644,6811,1877,0.3,0.28,"May 2025"
"E54000023",37298,8170,10031,1906,0.22,0.19,"May 2025"
"E54000052",35498,10058,11184,2288,0.28,0.2,"May 2025"
"E54000053",67297,13579,14992,1512,0.2,0.1,"May 2025"
"E54000062",74720,14617,20755,5342,0.2,0.26,"May 2025"
"E54000054",94995,21077,18821,5973,0.22,0.32,"May 2025"
"E54000040",31534,9520,10475,1970,0.3,0.19,"June 2025"
"E54000024",41757,10138,9514,728,0.24,0.08,"June 2025"
"E54000055",53738,15630,17726,4375,0.29,0.25,"June 2025"
"E54000039",37039,9355,11345,1893,0.25,0.17,"June 2025"
"E54000044",60525,11932,19303,1409,0.2,0.07,"June 2025"
"E54000056",37596,10182,8369,1917,0.27,0.23,"June 2025"
"E54000008",123222,33247,29270,8763,0.27,0.3,"June 2025"
"E54000036",20624,4896,3800,1164,0.24,0.31,"June 2025"
"E54000018",37069,10616,5963,1174,0.29,0.2,"June 2025"
"E54000050",145344,30758,36300,5236,0.21,0.14,"June 2025"
"E54000037",46562,13007,13304,2207,0.28,0.17,"June 2025"
"E54000041",29607,7336,9147,909,0.25,0.1,"June 2025"
"E54000029",93757,22574,15540,3700,0.24,0.24,"June 2025"
"E54000034",35965,9910,6243,1849,0.28,0.3,"June 2025"
"E54000043",23252,5258,5441,653,0.23,0.12,"June 2025"
"E54000057",125455,39003,28398,8928,0.31,0.31,"June 2025"
"E54000042",68057,16299,17699,2608,0.24,0.15,"June 2025"
"E54000048",75913,17287,18676,4888,0.23,0.26,"June 2025"
"E54000019",27760,9483,5154,2124,0.34,0.41,"June 2025"
"E54000025",48474,9914,10109,1222,0.2,0.12,"June 2025"
"E54000051",68043,19168,19875,4299,0.28,0.22,"June 2025"
"E54000058",57924,13849,9374,2410,0.24,0.26,"June 2025"
"E54000032",97520,17586,16195,4525,0.18,0.28,"June 2025"
"E54000015",38999,9405,9773,1776,0.24,0.18,"June 2025"
"E54000013",29420,7368,5734,1987,0.25,0.35,"June 2025"
"E54000026",34374,8463,10110,2342,0.25,0.23,"June 2025"
"E54000022",37316,10063,8139,2743,0.27,0.34,"June 2025"
"E54000028",72016,15778,10412,3553,0.22,0.34,"June 2025"
"E54000027",106795,20373,16981,2244,0.19,0.13,"June 2025"
"E54000059",31982,8169,5153,2686,0.26,0.52,"June 2025"
"E54000060",41507,11780,12607,1417,0.28,0.11,"June 2025"
