"stp20_nhs_code","date","year","month","completed","incomplete","new"
"QWO",2021-03-01,2021,"Mar",48832,213592,67452
"QWU",2021-03-01,2021,"Mar",18536,104619,24709
"QXU",2021-03-01,2021,"Mar",25906,99083,34624
"QYG",2021-03-01,2021,"Mar",72213,285682,84414
"QE1",2021-04-01,2021,"Apr",32088,179452,42020
"QF7",2021-04-01,2021,"Apr",40394,155470,44910
"QGH",2021-04-01,2021,"Apr",10219,84909,15478
"QH8",2021-04-01,2021,"Apr",25452,120663,34517
"QHG",2021-04-01,2021,"Apr",17276,90140,25373
"QHL",2021-04-01,2021,"Apr",23185,232951,41483
"QHM",2021-04-01,2021,"Apr",73866,326138,97873
"QJ2",2021-04-01,2021,"Apr",19218,109124,23159
"QJG",2021-04-01,2021,"Apr",18040,98564,23190
"QJK",2021-04-01,2021,"Apr",25557,176403,36145
"QJM",2021-04-01,2021,"Apr",9947,49924,8624
"QK1",2021-04-01,2021,"Apr",16705,117325,20623
"QKK",2021-04-01,2021,"Apr",50299,223433,64421
"QKS",2021-04-01,2021,"Apr",31757,173507,37041
"QM7",2021-04-01,2021,"Apr",22164,119737,30957
"QMF",2021-04-01,2021,"Apr",29343,204635,44637
"QMJ",2021-04-01,2021,"Apr",39370,232566,50655
"QMM",2021-04-01,2021,"Apr",17647,123637,26411
"QNC",2021-04-01,2021,"Apr",13574,82100,19234
"QNQ",2021-04-01,2021,"Apr",9097,57830,13042
"QNX",2021-04-01,2021,"Apr",37732,195248,47066
"QOC",2021-04-01,2021,"Apr",10444,62856,11652
"QOP",2021-04-01,2021,"Apr",67132,432287,90382
"QOQ",2021-04-01,2021,"Apr",38090,178912,46947
"QOX",2021-04-01,2021,"Apr",19915,96545,25249
"QPM",2021-04-01,2021,"Apr",10363,51268,15228
"QR1",2021-04-01,2021,"Apr",8639,73431,16104
"QRL",2021-04-01,2021,"Apr",38799,177574,42559
"QRV",2021-04-01,2021,"Apr",45049,202625,58598
"QSL",2021-04-01,2021,"Apr",8148,50797,11139
"QT1",2021-04-01,2021,"Apr",27494,118968,29237
"QT6",2021-04-01,2021,"Apr",10243,38408,12130
"QU9",2021-04-01,2021,"Apr",28455,166077,38004
"QUA",2021-04-01,2021,"Apr",35871,171007,41235
"QUE",2021-04-01,2021,"Apr",23607,108833,27853
"QUY",2021-04-01,2021,"Apr",22637,115286,26909
"QVV",2021-04-01,2021,"Apr",14109,83011,18779
"QWE",2021-04-01,2021,"Apr",34542,145316,43968
"QWO",2021-04-01,2021,"Apr",47596,236002,65448
"QWU",2021-04-01,2021,"Apr",17962,104622,21789
"QXU",2021-04-01,2021,"Apr",24303,102278,31214
"QYG",2021-04-01,2021,"Apr",65055,293929,78883
"QE1",2021-05-01,2021,"May",35237,185637,43628
"QF7",2021-05-01,2021,"May",39595,160857,45257
"QGH",2021-05-01,2021,"May",10962,87420,15998
"QH8",2021-05-01,2021,"May",25306,125426,34674
"QHG",2021-05-01,2021,"May",17774,94148,26238
"QHL",2021-05-01,2021,"May",24887,244061,42144
"QHM",2021-05-01,2021,"May",80919,345293,104391
"QJ2",2021-05-01,2021,"May",19927,122397,26727
"QJG",2021-05-01,2021,"May",19098,100531,19948
"QJK",2021-05-01,2021,"May",27448,184128,35840
"QJM",2021-05-01,2021,"May",8681,55179,10995
"QK1",2021-05-01,2021,"May",17297,120166,21309
"QKK",2021-05-01,2021,"May",50308,227891,63851
"QKS",2021-05-01,2021,"May",31948,180885,37810
"QM7",2021-05-01,2021,"May",22725,118476,31191
"QMF",2021-05-01,2021,"May",33108,207303,45989
"QMJ",2021-05-01,2021,"May",40364,239133,52281
"QMM",2021-05-01,2021,"May",17960,126244,28922
"QNC",2021-05-01,2021,"May",15392,86433,18828
"QNQ",2021-05-01,2021,"May",9884,58698,13161
"QNX",2021-05-01,2021,"May",39772,197907,42938
"QOC",2021-05-01,2021,"May",10812,63827,12270
"QOP",2021-05-01,2021,"May",68217,445070,87644
"QOQ",2021-05-01,2021,"May",40380,181276,47008
"QOX",2021-05-01,2021,"May",20645,97819,25536
"QPM",2021-05-01,2021,"May",10765,54716,16378
"QR1",2021-05-01,2021,"May",9310,74214,16345
"QRL",2021-05-01,2021,"May",40651,179523,44045
"QRV",2021-05-01,2021,"May",46143,209315,59041
"QSL",2021-05-01,2021,"May",8520,52773,11723
"QT1",2021-05-01,2021,"May",27800,120489,29814
"QT6",2021-05-01,2021,"May",10274,39696,12683
"QU9",2021-05-01,2021,"May",30539,169037,38404
"QUA",2021-05-01,2021,"May",32780,177095,41805
"QUE",2021-05-01,2021,"May",23087,112843,27611
"QUY",2021-05-01,2021,"May",23775,118751,26573
"QVV",2021-05-01,2021,"May",14870,84000,19433
"QWE",2021-05-01,2021,"May",36330,146793,44830
"QWO",2021-05-01,2021,"May",49536,243433,63549
"QWU",2021-05-01,2021,"May",17841,106081,22464
"QXU",2021-05-01,2021,"May",25488,102983,30838
"QYG",2021-05-01,2021,"May",63791,303098,79642
"QE1",2021-06-01,2021,"Jun",38261,188379,47247
"QF7",2021-06-01,2021,"Jun",44100,166942,49223
"QGH",2021-06-01,2021,"Jun",12825,88974,17462
"QH8",2021-06-01,2021,"Jun",29358,127186,33230
"QHG",2021-06-01,2021,"Jun",20416,96623,29907
"QHL",2021-06-01,2021,"Jun",27400,236828,44341
"QHM",2021-06-01,2021,"Jun",89583,353689,113584
"QJ2",2021-06-01,2021,"Jun",22524,124415,28882
"QJG",2021-06-01,2021,"Jun",20859,102581,26196
"QJK",2021-06-01,2021,"Jun",29285,187654,38718
"QJM",2021-06-01,2021,"Jun",9828,58240,12051
"QK1",2021-06-01,2021,"Jun",19043,123494,22503
"QKK",2021-06-01,2021,"Jun",57688,230967,70182
"QKS",2021-06-01,2021,"Jun",36063,182354,40701
"QM7",2021-06-01,2021,"Jun",26435,126340,34958
"QMF",2021-06-01,2021,"Jun",37371,209897,51888
"QMJ",2021-06-01,2021,"Jun",46135,239923,55450
"QMM",2021-06-01,2021,"Jun",20678,129528,31187
"QNC",2021-06-01,2021,"Jun",17568,89688,21626
"QNQ",2021-06-01,2021,"Jun",11442,58824,13685
"QNX",2021-06-01,2021,"Jun",43989,204849,54382
"QOC",2021-06-01,2021,"Jun",11592,64750,13506
"QOP",2021-06-01,2021,"Jun",76185,458777,99583
"QOQ",2021-06-01,2021,"Jun",45779,182626,52233
"QOX",2021-06-01,2021,"Jun",22138,97966,26282
"QPM",2021-06-01,2021,"Jun",12431,59637,18366
"QR1",2021-06-01,2021,"Jun",10218,75071,17779
"QRL",2021-06-01,2021,"Jun",44625,183038,48759
"QRV",2021-06-01,2021,"Jun",51735,219001,66303
"QSL",2021-06-01,2021,"Jun",9390,54328,12497
"QT1",2021-06-01,2021,"Jun",30444,122621,34932
"QT6",2021-06-01,2021,"Jun",11330,41640,14045
"QU9",2021-06-01,2021,"Jun",32793,170949,41620
"QUA",2021-06-01,2021,"Jun",37084,181575,51257
"QUE",2021-06-01,2021,"Jun",25843,119860,31245
"QUY",2021-06-01,2021,"Jun",27162,124601,29556
"QVV",2021-06-01,2021,"Jun",15942,84619,20560
"QWE",2021-06-01,2021,"Jun",40415,150387,49512
"QWO",2021-06-01,2021,"Jun",55412,248996,70500
"QWU",2021-06-01,2021,"Jun",21159,107346,24835
"QXU",2021-06-01,2021,"Jun",27478,108314,35227
"QYG",2021-06-01,2021,"Jun",70707,307232,85907
"QE1",2021-07-01,2021,"Jul",37319,191134,45669
"QF7",2021-07-01,2021,"Jul",42705,172809,47673
"QGH",2021-07-01,2021,"Jul",12254,89938,16777
"QH8",2021-07-01,2021,"Jul",28562,134657,37109
"QHG",2021-07-01,2021,"Jul",19355,99718,28821
"QHL",2021-07-01,2021,"Jul",25113,243517,40409
"QHM",2021-07-01,2021,"Jul",84778,362901,107345
"QJ2",2021-07-01,2021,"Jul",20611,130681,28355
"QJG",2021-07-01,2021,"Jul",20503,104286,25633
"QJK",2021-07-01,2021,"Jul",27995,192777,37840
"QJM",2021-07-01,2021,"Jul",9154,58978,11151
"QK1",2021-07-01,2021,"Jul",17962,125085,20396
"QKK",2021-07-01,2021,"Jul",54435,235934,67935
"QKS",2021-07-01,2021,"Jul",33837,187316,42071
"QM7",2021-07-01,2021,"Jul",24810,126393,31686
"QMF",2021-07-01,2021,"Jul",35885,206894,48855
"QMJ",2021-07-01,2021,"Jul",45283,246700,55006
"QMM",2021-07-01,2021,"Jul",19144,131148,30819
"QNC",2021-07-01,2021,"Jul",16996,92297,20599
"QNQ",2021-07-01,2021,"Jul",11057,60340,15183
"QNX",2021-07-01,2021,"Jul",41516,207513,49524
"QOC",2021-07-01,2021,"Jul",11637,65753,12572
"QOP",2021-07-01,2021,"Jul",70532,472102,93982
"QOQ",2021-07-01,2021,"Jul",42458,184823,49771
"QOX",2021-07-01,2021,"Jul",20187,101200,26160
"QPM",2021-07-01,2021,"Jul",12013,61480,17135
"QR1",2021-07-01,2021,"Jul",10551,73410,16830
"QRL",2021-07-01,2021,"Jul",42228,184406,46161
"QRV",2021-07-01,2021,"Jul",48836,223576,62663
"QSL",2021-07-01,2021,"Jul",9046,54902,11867
"QT1",2021-07-01,2021,"Jul",28825,123190,32570
"QT6",2021-07-01,2021,"Jul",11092,43467,13445
"QU9",2021-07-01,2021,"Jul",30331,173620,38635
"QUA",2021-07-01,2021,"Jul",33968,187183,48137
